Species_ID	Gene_ID	Group	Annotation
Hamp	XP_057601513.1	Dmrt	Dmrt-B1
Hsap	NP_149056.1	Dmrt	Dmrt-B1
Oafe	XP_007944154.1	Dmrt	Dmrt-B1
Amel	XP_034508822.1	Dmrt	Dmrt-B1
Bbub	XP_025144486.2	Dmrt	Dmrt-B1
Casi	XP_006839931.1	Dmrt	Dmrt-B1
Pgig	XP_039739094.1	Dmrt	Dmrt-B1
Cimi	XP_017359902.1	Dmrt	Dmrt-B1
Mmus	XP_036020151.1	Dmrt	Dmrt-B1
Bmus	XP_036712433.1	Dmrt	Dmrt-B1
Oana	XP_039770576.1	Dmrt	Dmrt-B1
Scar	XP_047395630.1	Dmrt	Dmrt-B1
Mjav	XP_036877684.1	Dmrt	Dmrt-B1
Ptig	XP_042853169.1	Dmrt	Dmrt-B1
Lcat	XP_045402503.1	Dmrt	Dmrt-B1
Emax	XP_049731502.1	Dmrt	Dmrt-B1
Ttru	XP_004325875.3	Dmrt	Dmrt-B1
Mang	XP_045755047.1	Dmrt	Dmrt-B1
Pafr	XP_047647463.1	Dmrt	Dmrt-B1
Opri	XP_004588846.2	Dmrt	Dmrt-B1
Cpor	XP_003464114.1	Dmrt	Dmrt-B1
Dnov	XP_058159531.1	Dmrt	Dmrt-B1
Cdid	XP_037665497.1	Dmrt	Dmrt-B1
Equa	XP_046516609.1	Dmrt	Dmrt-B1
Mdom	XP_056671081.1	Dmrt	Dmrt-B1
Csim	XP_014649261.1	Dmrt	Dmrt-B1
Cdro	XP_031321432.1	Dmrt	Dmrt-B1
Rfer	XP_032970385.1	Dmrt	Dmrt-B1
Clup	XP_038393419.1	Dmrt	Dmrt-B1
Tman	XP_012409672.2	Dmrt	Dmrt-B1
Ggal	NP_001232910.1	Dmrt	Dmrt-B1
Oafe	XP_007954175.1	Dmrt	Dmrt-2
Hsap	NP_870987.2	Dmrt	Dmrt-2
Dnov	XP_004459445.2	Dmrt	Dmrt-2
Shar	XP_003761708.1	Dmrt	Dmrt-2
Cpor	XP_005004778.1	Dmrt	Dmrt-2
Ttru	XP_019790310.1	Dmrt	Dmrt-2
Ggal	XP_003643035.3	Dmrt	Dmrt-2
Mdom	XP_001374295.1	Dmrt	Dmrt-2
Oana	XP_028911116.1	Dmrt	Dmrt-2
Tman	XP_004373589.1	Dmrt	Dmrt-2
Equa	XP_046519727.1	Dmrt	Dmrt-2
Bmus	XP_036712720.1	Dmrt	Dmrt-2
Cdid	XP_037653375.1	Dmrt	Dmrt-2
Opri	XP_058513365.1	Dmrt	Dmrt-2
Lcat	XP_045418965.1	Dmrt	Dmrt-2
Cimi	XP_017373822.1	Dmrt	Dmrt-2
Rfer	XP_032979206.1	Dmrt	Dmrt-2
Pgig	XP_039723855.1	Dmrt	Dmrt-2
Ptig	XP_042820943.1	Dmrt	Dmrt-2
Hamp	XP_057579943.1	Dmrt	Dmrt-2
Pafr	XP_047623676.1	Dmrt	Dmrt-2
Cdro	XP_031305655.1	Dmrt	Dmrt-2
Mmus	NP_665830.1	Dmrt	Dmrt-2
Csim	XP_014650903.1	Dmrt	Dmrt-2
Casi	XP_006863797.1	Dmrt	Dmrt-2
Emax	XP_049752756.1	Dmrt	Dmrt-2
Mjav	XP_017529816.2	Dmrt	Dmrt-2
Amel	XP_034503257.1	Dmrt	Dmrt-2
Clup	XP_038383091.1	Dmrt	Dmrt-2
Mang	XP_045738142.1	Dmrt	Dmrt-2
Bbub	XP_044795850.1	Dmrt	Dmrt-2
Drot	XP_045047034.2	Dmrt	Dmrt-2
Scar	XP_047380961.1	Dmrt	Dmrt-2
Cdro	XP_031312888.1	Dmrt	Dmrt-C2
Clup	XP_038381591.1	Dmrt	Dmrt-C2
Csim	XP_004440164.1	Dmrt	Dmrt-C2
Casi	XP_006871451.1	Dmrt	Dmrt-C2
Mang	XP_045746349.1	Dmrt	Dmrt-C2
Bmus	XP_036690564.1	Dmrt	Dmrt-C2
Lcat	XP_045387563.1	Dmrt	Dmrt-C2
Hamp	XP_057568752.1	Dmrt	Dmrt-C2
Cdid	XP_037676589.1	Dmrt	Dmrt-C2
Pafr	XP_047644735.1	Dmrt	Dmrt-C2
Mmus	XP_017167796.1	Dmrt	Dmrt-C2
Equa	XP_046507274.1	Dmrt	N/A
Oafe	XP_007941145.1	Dmrt	Dmrt-C2
Tman	XP_004388803.1	Dmrt	Dmrt-C2
Drot	XP_024433509.1	Dmrt	Dmrt-C2
Oana	XP_007664048.1	Dmrt	Dmrt-C2
Ttru	XP_033699919.1	Dmrt	Dmrt-C2
Amel	XP_034494561.1	Dmrt	Dmrt-C2
Opri	XP_058531141.1	Dmrt	Dmrt-C2
Pgig	XP_039731326.1	Dmrt	N/A
Lcat	XP_045393814.1	Dmrt	N/A
Lcat	XP_045393815.1	Dmrt	N/A
Lcat	XP_045393818.1	Dmrt	N/A
Scar	XP_047383853.1	Dmrt	Dmrt-C2
Pgig	XP_039705918.1	Dmrt	Dmrt-C2
Hsap	XP_016882612.1	Dmrt	Dmrt-C2
Equa	XP_046540061.1	Dmrt	N/A
Mjav	XP_036869866.1	Dmrt	Dmrt-C2
Rfer	XP_032984641.1	Dmrt	Dmrt-C2
Shar	XP_031819119.1	Dmrt	Dmrt-C2
Emax	XP_049757407.1	Dmrt	Dmrt-C2
Lcat	XP_045393817.1	Dmrt	N/A
Ptig	XP_042825393.1	Dmrt	Dmrt-C2
Bbub	XP_025124040.1	Dmrt	Dmrt-C2
Cimi	XP_037585356.1	Dmrt	Dmrt-C2
Cpor	XP_003464597.1	Dmrt	Dmrt-C2
Csim	XP_004443941.1	Dmrt	N/A
Mdom	XP_007506399.1	Dmrt	Dmrt-C2
Dnov	XP_058135474.1	Dmrt	Dmrt-C2
Lcat	XP_045393811.1	Dmrt	N/A
Hsap	NP_067063.1	Dmrt	Dmrt-3
